"MarkettypeID","TradingMonth","HML1"
"P9707","2008-08","0.054273"
"P9710","2008-08","0.033998"
"P9709","2008-08","0.030025"
"P9712","2008-08","0.030025"
"P9714","2008-08","0.030025"
"P9713","2008-08","0.033998"
"P9715","2008-08","0.033998"
"P9706","2008-09","0.038559"
"P9707","2008-09","0.042278"
"P9710","2008-09","0.041761"
"P9709","2008-09","0.038559"
"P9712","2008-09","0.038559"
"P9714","2008-09","0.038559"
"P9713","2008-09","0.041761"
"P9715","2008-09","0.041761"
"P9706","2008-10","0.030914"
"P9707","2008-10","-0.039889"
"P9710","2008-10","0.027552"
"P9709","2008-10","0.030914"
"P9712","2008-10","0.030914"
"P9714","2008-10","0.030914"
"P9713","2008-10","0.027552"
"P9715","2008-10","0.027552"
"P9706","2008-11","-0.016304"
"P9707","2008-11","-0.017985"
"P9710","2008-11","-0.015705"
"P9709","2008-11","-0.016304"
"P9712","2008-11","-0.016304"
"P9714","2008-11","-0.016304"
"P9713","2008-11","-0.015705"
"P9715","2008-11","-0.015705"
"P9706","2008-12","-0.039060"
"P9707","2008-12","-0.070575"
"P9710","2008-12","-0.042539"
"P9709","2008-12","-0.039060"
"P9712","2008-12","-0.039060"
"P9714","2008-12","-0.039060"
"P9713","2008-12","-0.042539"
"P9715","2008-12","-0.042539"
"P9706","2009-01","-0.017948"
"P9707","2009-01","-0.007066"
"P9710","2009-01","-0.018095"
"P9709","2009-01","-0.017948"
"P9712","2009-01","-0.017948"
"P9714","2009-01","-0.017948"
"P9713","2009-01","-0.018095"
"P9715","2009-01","-0.018095"
"P9706","2009-02","-0.017867"
"P9707","2009-02","0.013662"
"P9710","2009-02","-0.013114"
"P9709","2009-02","-0.017867"
"P9712","2009-02","-0.017867"
"P9714","2009-02","-0.017867"
"P9713","2009-02","-0.013114"
"P9715","2009-02","-0.013114"
"P9706","2009-03","-0.051336"
"P9707","2009-03","-0.110419"
"P9710","2009-03","-0.053574"
"P9709","2009-03","-0.051336"
"P9712","2009-03","-0.051336"
"P9714","2009-03","-0.051336"
"P9713","2009-03","-0.053574"
"P9715","2009-03","-0.053574"
"P9706","2009-04","0.014925"
"P9707","2009-04","0.003988"
"P9710","2009-04","0.015162"
"P9709","2009-04","0.014925"
"P9712","2009-04","0.014925"
"P9713","2009-04","0.015162"
"P9714","2009-04","0.014925"
"P9715","2009-04","0.015162"
"P9706","2009-05","0.003847"
"P9707","2009-05","-0.009173"
"P9710","2009-05","0.003840"
"P9709","2009-05","0.003847"
"P9712","2009-05","0.003847"
"P9713","2009-05","0.003840"
"P9714","2009-05","0.003847"
"P9715","2009-05","0.003840"
"P9706","2009-06","-0.016677"
"P9707","2009-06","-0.010822"
"P9710","2009-06","-0.014348"
"P9709","2009-06","-0.016677"
"P9712","2009-06","-0.016677"
"P9713","2009-06","-0.014348"
"P9714","2009-06","-0.016677"
"P9715","2009-06","-0.014348"
"P9706","2009-07","0.021235"
"P9707","2009-07","0.096541"
"P9710","2009-07","0.021812"
"P9709","2009-07","0.021235"
"P9712","2009-07","0.021235"
"P9713","2009-07","0.021812"
"P9714","2009-07","0.021235"
"P9715","2009-07","0.021812"
"P9706","2009-08","-0.023972"
"P9707","2009-08","0.007468"
"P9710","2009-08","-0.022888"
"P9709","2009-08","-0.023972"
"P9712","2009-08","-0.023972"
"P9713","2009-08","-0.022888"
"P9714","2009-08","-0.023972"
"P9715","2009-08","-0.022888"
"P9706","2009-09","-0.016304"
"P9707","2009-09","-0.015687"
"P9710","2009-09","-0.014058"
"P9709","2009-09","-0.016304"
"P9712","2009-09","-0.016304"
"P9713","2009-09","-0.014058"
"P9714","2009-09","-0.016304"
"P9715","2009-09","-0.014058"
"P9705","2009-10",""
"P9706","2009-10","-0.003578"
"P9707","2009-10","0.023562"
"P9710","2009-10","-0.001718"
"P9709","2009-10","-0.003578"
"P9712","2009-10","-0.003578"
"P9713","2009-10","-0.001718"
"P9714","2009-10","-0.003578"
"P9715","2009-10","-0.001718"
"P9705","2009-11",""
"P9706","2009-11","0.003528"
"P9707","2009-11","0.082723"
"P9710","2009-11","0.006655"
"P9709","2009-11","0.003528"
"P9712","2009-11","0.003528"
"P9713","2009-11","0.006655"
"P9714","2009-11","0.003528"
"P9715","2009-11","0.006655"
"P9705","2009-12",""
"P9706","2009-12","0.025173"
"P9707","2009-12","-0.013348"
"P9710","2009-12","0.022925"
"P9709","2009-12","0.025173"
"P9712","2009-12","0.025173"
"P9713","2009-12","0.022925"
"P9714","2009-12","0.025173"
"P9715","2009-12","0.022925"
"P9705","2010-01",""
"P9706","2010-01","-0.018919"
"P9707","2010-01","-0.003722"
"P9710","2010-01","-0.016218"
"P9709","2010-01","-0.018919"
"P9712","2010-01","-0.018919"
"P9713","2010-01","-0.016218"
"P9714","2010-01","-0.018919"
"P9715","2010-01","-0.016218"
"P9705","2010-02",""
"P9706","2010-02","-0.019492"
"P9707","2010-02","-0.013814"
"P9710","2010-02","-0.019934"
"P9709","2010-02","-0.019492"
"P9712","2010-02","-0.019492"
"P9713","2010-02","-0.019934"
"P9714","2010-02","-0.019492"
"P9715","2010-02","-0.019934"
"P9705","2010-03",""
"P9706","2010-03","-0.005504"
"P9707","2010-03","-0.026822"
"P9710","2010-03","-0.007624"
"P9709","2010-03","-0.005504"
"P9712","2010-03","-0.005504"
"P9713","2010-03","-0.007624"
"P9714","2010-03","-0.005504"
"P9715","2010-03","-0.007624"
"P9705","2010-04",""
"P9706","2010-04","-0.019223"
"P9707","2010-04","0.045132"
"P9710","2010-04","-0.013715"
"P9709","2010-04","-0.019223"
"P9712","2010-04","-0.019223"
"P9713","2010-04","-0.013715"
"P9714","2010-04","-0.019223"
"P9715","2010-04","-0.013715"
"P9705","2010-05",""
"P9706","2010-05","-0.002986"
"P9707","2010-05","-0.078183"
"P9710","2010-05","-0.007514"
"P9709","2010-05","-0.002986"
"P9712","2010-05","-0.002986"
"P9713","2010-05","-0.007514"
"P9714","2010-05","-0.002986"
"P9715","2010-05","-0.007514"
"P9705","2010-06",""
"P9706","2010-06","0.003928"
"P9707","2010-06","-0.018408"
"P9710","2010-06","0.003106"
"P9709","2010-06","0.003928"
"P9712","2010-06","0.003928"
"P9713","2010-06","0.003106"
"P9714","2010-06","0.003928"
"P9715","2010-06","0.003106"
"P9705","2010-07","0.010758"
"P9706","2010-07","-0.023996"
"P9707","2010-07","-0.021856"
"P9710","2010-07","-0.027723"
"P9709","2010-07","-0.026853"
"P9712","2010-07","-0.023996"
"P9713","2010-07","-0.024992"
"P9714","2010-07","-0.026853"
"P9715","2010-07","-0.027723"
"P9705","2010-08","0.030422"
"P9706","2010-08","-0.072669"
"P9707","2010-08","-0.050071"
"P9710","2010-08","-0.076100"
"P9709","2010-08","-0.075616"
"P9712","2010-08","-0.072669"
"P9713","2010-08","-0.073223"
"P9714","2010-08","-0.075616"
"P9715","2010-08","-0.076100"
"P9705","2010-09","0.057888"
"P9706","2010-09","-0.041734"
"P9707","2010-09","-0.008397"
"P9710","2010-09","-0.044569"
"P9709","2010-09","-0.044449"
"P9712","2010-09","-0.041734"
"P9713","2010-09","-0.041821"
"P9714","2010-09","-0.044449"
"P9715","2010-09","-0.044569"
"P9705","2010-10","0.002894"
"P9706","2010-10","0.011989"
"P9707","2010-10","0.025537"
"P9710","2010-10","0.014421"
"P9709","2010-10","0.013824"
"P9712","2010-10","0.011989"
"P9713","2010-10","0.012515"
"P9714","2010-10","0.013824"
"P9715","2010-10","0.014421"
"P9705","2010-11","-0.002005"
"P9706","2010-11","-0.037153"
"P9707","2010-11","0.001236"
"P9710","2010-11","-0.032881"
"P9709","2010-11","-0.035480"
"P9712","2010-11","-0.037153"
"P9713","2010-11","-0.034480"
"P9714","2010-11","-0.035480"
"P9715","2010-11","-0.032881"
"P9705","2010-12","-0.011840"
"P9706","2010-12","0.015710"
"P9707","2010-12","0.008624"
"P9710","2010-12","0.016888"
"P9709","2010-12","0.015333"
"P9712","2010-12","0.015710"
"P9713","2010-12","0.017347"
"P9714","2010-12","0.015333"
"P9715","2010-12","0.016888"
"P9705","2011-01","-0.022117"
"P9706","2011-01","0.042217"
"P9707","2011-01","0.026982"
"P9710","2011-01","0.039441"
