,小市值策略回报,市场平均回报,下月中证500回报,下月沪深300回报,下月上证50回报,小市值策略所选股票
2020-08-31,-0.05182289999999999,-0.07842479833679837,-0.071371,-0.047510000000000004,-0.033335000000000004,600247|600306|600599|600634|603996|000820|000835|002071|002356|002499
2020-09-30,-0.030693199999999997,-0.01085139713896458,-0.013084,0.023527,0.014837000000000001,600146|600247|600306|600634|000820|000835|002071|002072|002356|002499
2020-10-30,-0.03666660000000001,0.04861460454083355,0.034273000000000005,0.056422,0.057627,600112|600146|600247|600634|000820|000835|002071|002072|002356|002499
2020-11-30,-0.0509642,-0.025724284167794334,0.007304000000000001,0.05061,0.049351,600112|600146|600247|603996|000820|000835|002071|002072|002356|002499
2020-12-31,-0.1144401,-0.05877936292517001,-0.003293,0.026993,0.019944,600112|600146|600247|600599|600734|603996|000820|000835|002071|002356
2021-01-29,0.1794987,0.03893939904826649,0.002869,-0.0028399999999999996,0.011744,600091|600112|600146|600247|600385|600687|600734|603996|000835|002356
2021-02-26,0.12632310000000002,0.03215297985901309,-0.017328,-0.05404,-0.057891,600086|600112|600146|600385|603996|000835|002072|002188|002356|002473
2021-03-31,0.017802444444444447,0.00736887064002709,0.037038,0.014882,-0.013613,600091|600112|600146|600385|000662|000835|002072|002356|002629
2021-04-30,0.124495,0.054922740690589104,0.03751,0.040612999999999996,0.045551999999999995,600091|600146|600385|600599|600766|603996|000835|002072|002473|002629
2021-05-31,0.20025869999999996,0.017022511573297556,0.011768,-0.020169,-0.041524,600146|600385|600766|603996|000609|000611|000835|002072|002188|002200
