code,date,type,递延所得税资产,递延所得税负债,优先股账面值,所有者权益合计,book_equity
000008,2017-12-31,A,67061709.03,33028054.52,0.0,7187053024.04,7153019369.530001
000008,2018-12-31,A,78213270.3,30853294.59,0.0,7404851995.14,7357492019.43
000008,2019-12-31,A,89106974.77,34868205.84,0.0,7576480345.24,7522241576.309999
000009,2006-12-31,A,42108.74,0.0,0.0,1948593650.42,1948551541.68
000009,2007-12-31,A,4415367.06,46637060.83,0.0,2386635086.13,2428856779.9
000009,2008-12-31,A,7255593.76,2941253.85,0.0,2494360614.46,2490046274.5499997
000009,2009-12-31,A,9178010.39,24551127.42,0.0,2985108834.59,3000481951.6200004
000009,2010-12-31,A,10137347.6,66862713.6,0.0,3713831484.34,3770556850.34
000009,2011-12-31,A,48036291.56,0.0,0.0,4120231250.37,4072194958.81
000009,2012-12-31,A,52883695.66,180662.16,0.0,4693352662.36,4640649628.86
000009,2013-12-31,A,92132366.19,13098.0,0.0,5052731140.03,4960611871.84
000009,2014-12-31,A,91883338.36,7040717.28,0.0,5464128278.29,5379285657.21
000009,2015-12-31,A,119000245.18,25093207.95,0.0,6553582678.71,6459675641.48
000009,2016-12-31,A,224022266.1,52189819.92,0.0,8134737848.16,7962905401.98
000009,2017-12-31,A,336810168.57,101567611.96,0.0,9945905427.97,9710662871.359999
000009,2018-12-31,A,512116376.28,90602652.91,0.0,10450547026.42,10029033303.05
000009,2019-12-31,A,535640931.03,98343184.44,0.0,10707590318.3,10270292571.71
000009,2020-12-31,A,427989302.77,119027109.55,0.0,13245429430.76,12936467237.539999
000010,2006-12-31,A,0.0,0.0,0.0,86444211.11,86444211.11
000010,2007-12-31,A,234341.1,15575452.33,0.0,133690504.92,149031616.15
000010,2008-12-31,A,657411.12,0.0,0.0,71482381.69,70824970.57
000010,2009-12-31,A,1474792.11,1584240.0,0.0,83779879.05,83889326.94
000010,2010-12-31,A,1572206.86,205492.62,0.0,85427997.9,84061283.66000001
000010,2011-12-31,A,2247311.23,0.0,0.0,93768732.34,91521421.11
000010,2012-12-31,A,2872132.4,41507.88,0.0,95375117.75,92544493.22999999
000010,2013-12-31,A,4048519.11,196649.13,0.0,659685073.25,655833203.27
000010,2014-12-31,A,4545705.4,344146.58,0.0,551590564.16,547389005.34
000010,2015-12-31,A,30538839.15,7490790.76,0.0,2170301987.92,2147253939.5300002
000010,2016-12-31,A,33605230.07,7096748.71,0.0,2209600252.22,2183091770.8599997
000010,2017-12-31,A,37490981.1,6852903.77,0.0,1179597646.03,1148959568.7
000010,2018-12-31,A,46670873.45,13084132.53,0.0,590810693.12,557223952.1999999
000010,2019-12-31,A,52214643.03,12606935.36,0.0,753730205.21,714122497.5400001
000011,2006-12-31,A,437063.77,0.0,0.0,583920212.6,583483148.83
000011,2007-12-31,A,10444137.07,1211007.25,0.0,566753414.14,557520284.3199999
000011,2008-12-31,A,13322857.95,0.0,0.0,571477116.47,558154258.52
000011,2009-12-31,A,51695501.02,0.0,0.0,662304640.18,610609139.16
000011,2010-12-31,A,83209649.31,807.48,0.0,875047708.94,791838867.1100001
000011,2011-12-31,A,124102202.41,0.0,0.0,1131105960.98,1007003758.57
000011,2012-12-31,A,194507824.5,2739089.94,0.0,1504018629.99,1312249895.43
000011,2013-12-31,A,191592588.8,0.0,0.0,1803643379.74,1612050790.94
000011,2014-12-31,A,216552790.6,257625.0,0.0,2075104749.13,1858809583.5300002
000011,2015-12-31,A,240335370.51,23985.24,0.0,2100768853.67,1860457468.4
000011,2016-12-31,A,375997063.33,14487.51,0.0,2411296822.81,2035314246.9900002
000011,2017-12-31,A,388022097.64,8668.15,0.0,2922555881.14,2534542451.65
000011,2018-12-31,A,519783531.64,5275.6,0.0,3341199311.01,2821421054.9700003
000011,2019-12-31,A,658153122.73,3821.08,0.0,3266567301.19,2608417999.54
000011,2020-12-31,A,950681245.5,262.2,0.0,3781121479.83,2830440496.5299997
000012,2006-12-31,A,0.0,0.0,0.0,2940725506.0,2940725506.0
000012,2007-12-31,A,3839332.0,7558595.0,0.0,4285613871.0,4289333134.0
000012,2008-12-31,A,61442037.0,4777606.0,0.0,4813017140.0,4756352709.0
000012,2009-12-31,A,87465374.0,10333313.0,0.0,5611073032.0,5533940971.0
000012,2010-12-31,A,79877237.0,29507743.0,0.0,6759218349.0,6708848855.0
000012,2011-12-31,A,81376849.0,44090844.0,0.0,7305934539.0,7268648534.0
000012,2012-12-31,A,163100004.0,32046701.0,0.0,7268194760.0,7137141457.0
000012,2013-12-31,A,164787158.0,34298029.0,0.0,8400912582.0,8270423453.0
000012,2014-12-31,A,103781894.0,42029332.0,0.0,8513628150.0,8451875588.0
000012,2015-12-31,A,110336216.0,9531572.0,0.0,7645471477.0,7544666833.0
000012,2016-12-31,A,96451854.0,29749137.0,0.0,8129191019.0,8062488302.0
000012,2017-12-31,A,80872862.0,20915954.0,0.0,8779623111.0,8719666203.0
000012,2018-12-31,A,139529518.0,22118840.0,0.0,9449432462.0,9332021784.0
000012,2019-12-31,A,205792587.0,30197657.0,0.0,9865855528.0,9690260598.0
000014,2006-12-31,A,0.0,0.0,0.0,377249971.41,377249971.41
000014,2007-12-31,A,5573117.0,292620.13,0.0,367242146.48,361961649.61
000014,2008-12-31,A,11971469.33,84643.46,0.0,427594894.31,415708068.44
000014,2009-12-31,A,35731568.18,294669.5,0.0,488227541.8,452790643.12
000014,2010-12-31,A,46349194.89,330678.71,0.0,559793461.2,513774945.0200001
000014,2011-12-31,A,49973026.37,239420.58,0.0,604233598.53,554499992.74
000014,2012-12-31,A,62153278.01,255749.05,0.0,633374554.85,571477025.89
000014,2013-12-31,A,86124307.0,297762.98,0.0,663539748.0,577713203.98
000014,2014-12-31,A,75795786.36,341456.42,0.0,723357411.93,647903081.9899999
000014,2015-12-31,A,62930025.42,0.0,0.0,772937015.38,710006989.96
000014,2016-12-31,A,58959897.54,0.0,0.0,794586740.93,735626843.39
000014,2017-12-31,A,64105492.78,0.0,0.0,800149643.62,736044150.84
000014,2018-12-31,A,27498836.6,3448145.3,0.0,950254666.06,926203974.7599999
000014,2019-12-31,A,25250471.5,0.0,0.0,955923185.99,930672714.49
000014,2020-12-31,A,30042240.2,1171798.62,0.0,953772898.71,924902457.13
000016,2006-12-31,A,0.0,0.0,0.0,3545367836.22,3545367836.22
000016,2007-12-31,A,63408491.1,3783805.52,0.0,3785988698.98,3726364013.4
000016,2008-12-31,A,110860799.08,563067.21,0.0,4036612598.46,3926314866.59
000016,2009-12-31,A,150686419.1,1308715.59,0.0,4106267973.45,3956890269.94
000016,2010-12-31,A,251626885.02,563067.21,0.0,4224137444.8,3973073626.9900002
000016,2011-12-31,A,327297600.22,1370569.08,0.0,4236627256.48,3910700225.34
000016,2012-12-31,A,310903676.56,563067.21,0.0,4246847782.12,3936507172.77
000016,2013-12-31,A,218728739.41,0.0,0.0,4280102679.42,4061373940.01
000016,2014-12-31,A,259516396.26,1049498.77,0.0,4297456505.02,4038989607.5300007
000016,2015-12-31,A,549305508.01,3468031.97,0.0,3075450417.13,2529612941.09
000016,2016-12-31,A,701734152.68,19162818.83,0.0,3318498894.67,2635927560.82
000016,2017-12-31,A,307942263.12,12636633.4,0.0,8198189807.39,7902884177.67
000016,2018-12-31,A,639433954.3,141020093.34,0.0,9451368310.79,8952954449.830002
000016,2019-12-31,A,987763182.17,95467096.05,0.0,9926697786.8,9034401700.679998
000016,2020-12-31,A,1265916437.39,75819231.93,0.0,10720895124.64,9530797919.18
000018,2006-12-31,A,0.0,0.0,0.0,300729638.0,300729638.0
000018,2007-12-31,A,0.0,1195397.0,0.0,170474941.0,171670338.0
000018,2008-12-31,A,0.0,1015950.0,0.0,130957788.0,131973738.0
000018,2009-12-31,A,0.0,968868.0,0.0,143567036.0,144535904.0
000018,2010-12-31,A,0.0,892357.0,0.0,141617904.0,142510261.0
000018,2011-12-31,A,0.0,808335.0,0.0,117673582.0,118481917.0
000018,2012-12-31,A,0.0,766660.0,0.0,117478877.0,118245537.0
000018,2013-12-31,A,0.0,702735.0,0.0,124581652.0,125284387.0
000018,2014-12-31,A,0.0,664358.0,0.0,129524543.0,130188901.0
000018,2015-12-31,A,47950278.07,15444.16,0.0,1280543663.55,1232608829.64
000018,2016-12-31,A,76298659.34,27469888.77,0.0,1830482872.59,1781654102.02
000018,2017-12-31,A,118233337.36,26088961.71,0.0,2260166870.41,2168022494.7599998
000018,2018-12-31,A,117983727.91,24369456.18,0.0,265568221.3,171953949.57000002
000019,2006-12-31,A,0.0,0.0,0.0,296340076.5,296340076.5
000019,2007-12-31,A,4407955.27,0.0,0.0,367107825.43,362699870.16
000019,2008-12-31,A,2455703.62,0.0,0.0,383121386.46,380665682.84
000019,2009-12-31,A,3471579.32,0.0,0.0,365340434.23,361868854.91
000019,2010-12-31,A,2595233.33,0.0,0.0,372941613.24,370346379.91
000019,2011-12-31,A,2645321.41,0.0,0.0,889876512.59,887231191.1800001
000019,2012-12-31,A,2554782.97,0.0,0.0,1006170660.52,1003615877.55
000019,2013-12-31,A,2630033.64,0.0,0.0,1011684693.18,1009054659.54
000019,2014-12-31,A,2955622.47,1262646.5,0.0,993638330.08,991945354.11
000019,2015-12-31,A,4436279.25,1639143.22,0.0,957138009.09,954340873.0600001
000019,2016-12-31,A,4973248.37,1653779.51,0.0,1049738562.86,1046419094.0
000019,2017-12-31,A,5524575.14,1244747.03,0.0,963153330.26,958873502.15
000019,2018-12-31,A,50174590.98,12988434.77,0.0,4337598831.58,4300412675.370001
000019,2019-12-31,A,39082710.96,12563752.22,0.0,4623438130.99,4596919172.25
000020,2006-12-31,A,0.0,0.0,0.0,223842836.53,223842836.53
000020,2007-12-31,A,700787.29,0.0,0.0,242200200.6,241499413.31
000020,2008-12-31,A,3796628.51,0.0,0.0,247809266.16,244012637.65
000020,2009-12-31,A,5088690.42,0.0,0.0,251963858.81,246875168.39000002
000020,2010-12-31,A,6875278.89,0.0,0.0,266564632.01,259689353.12
000020,2011-12-31,A,7049837.44,0.0,0.0,276939153.21,269889315.77
000020,2012-12-31,A,7608968.76,0.0,0.0,280181050.91,272572082.15000004
000020,2013-12-31,A,8686737.88,0.0,0.0,273663649.47,264976911.59000003
000020,2014-12-31,A,6251934.59,0.0,0.0,281351269.74,275099335.15000004
000020,2015-12-31,A,6400271.29,0.0,0.0,313937229.7,307536958.40999997
000020,2016-12-31,A,8475476.3,0.0,0.0,319698568.63,311223092.33
000020,2017-12-31,A,6731168.99,0.0,0.0,320672978.02,313941809.03
000020,2018-12-31,A,6829856.59,0.0,0.0,323968000.74,317138144.15000004
000020,2019-12-31,A,6803360.0,0.0,0.0,329428049.89,322624689.89
000021,2006-12-31,A,0.0,0.0,0.0,3102585454.44,3102585454.44
000021,2007-12-31,A,37393636.69,38203234.35,0.0,3486980452.68,3487790050.3399997
000021,2008-12-31,A,41508041.67,45756428.81,0.0,3464514579.49,3468762966.6299996
000021,2009-12-31,A,50531928.74,1491047.58,0.0,3952803900.1,3903763018.94
000021,2010-12-31,A,48056334.65,34417844.02,0.0,4478335433.89,4464696943.260001
