code,year,date,circulate,return1,return2,type,BE,BM_ratio
600159,2006,2006-12-01,656889.32,0.100885,0.100885,1,311266487.07,0.47384921263448154
000540,2006,2006-12-01,395085.96,-0.088542,-0.088542,4,187403463.09,0.4743359219598692
600521,2006,2006-12-01,1834757.04,0.016517,0.016517,1,875400626.89,0.47712073468321453
600386,2006,2006-12-01,1569792.0,-0.083682,-0.083682,1,749150859.52,0.47722937785388125
600360,2006,2006-12-01,1842500.0,0.054363,0.054363,1,882140524.78,0.4787736905183175
600601,2006,2006-12-01,4066173.05,0.135501,0.135501,1,1956307616.39,0.48111764854424977
600658,2006,2006-12-01,400320.84,-0.061765,-0.061765,1,193918237.34,0.4844070504548302
000657,2006,2006-12-01,1265173.74,0.045833,0.045833,4,614806642.43,0.485946414308283
600371,2006,2006-12-01,651731.61,0.104575,0.104575,1,317001892.06,0.48639944295474635
000060,2006,2006-12-01,6769730.98,-0.039889,-0.039889,4,3324742583.46,0.4911188632579902
600511,2006,2006-12-01,1199549.0,-0.113995,-0.113995,1,590992539.08,0.4926789477378582
600031,2006,2006-12-01,5573756.48,0.516706,0.516706,1,2753046591.35,0.4939301889540032
000869,2006,2006-12-01,4138391.96,0.150577,0.150577,4,2063316313.0,0.498579238734071
000652,2006,2006-12-01,3849678.29,-0.091054,-0.091054,4,1920285919.23,0.49881724512361786
002049,2006,2006-12-01,464900.73,0.057554,0.057554,4,231988201.72,0.49900588824629294
000031,2006,2006-12-01,2846510.99,-0.09252,-0.09252,4,1426245684.11,0.5010504751678475
000554,2006,2006-12-01,1712715.12,0.0375,0.0375,4,861313979.86,0.502893896248198
600855,2006,2006-12-01,1246647.36,-0.109934,-0.109934,1,627516131.14,0.5033629808031679
600891,2006,2006-12-01,278251.57,-0.048673,-0.048673,1,140603285.73,0.5053099457084824
000888,2006,2006-12-01,1184259.39,0.066741,0.066741,4,599989256.24,0.5066366889774039
600682,2006,2006-12-01,1721428.8,0.098537,0.098537,1,874165013.13,0.5078136331459077
600584,2006,2006-12-01,1737867.1,0.052687,0.052687,1,882605167.74,0.5078668948505901
600865,2006,2006-12-01,1394001.36,0.122004,0.122004,1,708054998.39,0.5079299193725321
002069,2006,2006-12-01,2095332.0,0.134713,0.134713,4,1067896384.49,0.509654978060756
600826,2006,2006-12-01,1337287.84,0.198091,0.198091,1,682018116.86,0.510000985920877
600211,2006,2006-12-01,776700.0,0.104287,0.104287,1,396343571.09,0.5102917099137376
002009,2006,2006-12-01,665025.05,0.034688,0.034688,4,340824548.77,0.5124988130447116
600410,2006,2006-12-01,1489213.44,-0.080281,-0.080281,1,763455803.6,0.5126570732533814
