date,group1,group2,group3,group4,group5,next_rf,beta1,beta2,beta3,beta4,beta5
2010-02-01,0.038941221875,0.03362967289719626,0.035183628125,0.03525749529780565,0.03770701875,0.0018559999999999,1.006211370752345,1.0569313011394428,1.0856681079055308,1.103974168350521,1.1597381372379316
2010-03-01,-0.06876345,-0.062633928125,-0.057970062499999996,-0.07215039375,-0.07149842990654205,0.0018559999999999,1.0106869904936504,1.0446584580567437,1.076741274592882,1.1110128127085384,1.1830384550717254
2010-04-01,-0.10080787499999999,-0.09860001874999999,-0.0753376386292835,-0.086259725,-0.07676911838006231,0.0018559999999999,1.0547922173265976,1.076783546051271,1.0760565104615134,1.1636532759795946,1.1961107303662528
2010-05-01,-0.08501998136645962,-0.07859081424148608,-0.08836492569659443,-0.09501290712074303,-0.0961389226006192,0.0018559999999999,1.0659675316344568,1.0873769010329593,1.0791399020953814,1.1773937214296224,1.210975050361596
2010-06-01,0.15087615692307693,0.15231264,0.15765527692307693,0.16084436307692307,0.1679281323076923,0.0018559999999999,1.0435880751633628,1.060201400256668,1.0620717391902437,1.1471178052355997,1.2073454961791552
2010-07-01,0.08003513538461539,0.09011040490797546,0.09462964615384616,0.0979546226993865,0.10719015950920247,0.0018559999999999,1.0437750131163082,1.075585083189779,1.0722172567955108,1.1469919089121206,1.195809886356956
2010-08-01,0.008881141538461538,0.02425758153846154,0.023714163076923075,0.019822569230769232,0.0247305981595092,0.0018559999999999,1.0015479296171934,1.0094059273541667,1.0313298788708365,1.0889156362313654,1.1238494937796353
2010-09-01,0.08330261467889907,0.08635678963414634,0.09215598470948012,0.1038538018292683,0.10325732926829267,0.0018559999999999,0.9811125218768331,1.016390025332616,1.0117649610771406,1.0711523852099532,1.0991039695961469
2010-10-01,-0.00333978527607362,0.0197324263803681,-0.0005063088685015293,-0.00690029754601227,-0.008337764525993885,0.0020599999999999,0.9110549147891198,0.9148590987046957,0.9436097653682283,0.9884465776375063,1.0374188140477434
2010-11-01,-0.019206556574923546,-0.01846891743119266,-0.015428770642201835,-0.014838834862385322,-0.018764618902439023,0.0020599999999999,0.8985073309419176,0.8886682425185781,0.9117264821672362,0.9347451812181574,1.0033762707729306
2010-12-01,-0.007569204268292682,-0.028479628048780486,-0.05020848780487805,-0.05128138719512196,-0.05700216463414634,0.002263,0.9252000984107133,0.8987742207312068,0.9158603691877252,0.9870974941883783,1.0440988199822119
2011-01-01,0.08535899082568807,0.09700601829268292,0.0942203119266055,0.10347455792682927,0.11291573780487804,0.002263,0.9112165349297446,0.8910808883703676,0.9265397856710929,0.9751037439955257,1.0914663483894311
2011-02-01,0.011310478527607361,0.003091545731707317,0.002352756097560976,-0.00784290519877676,0.0016082957317073165,0.002466,0.9186743403640365,0.9044189293909588,0.9140352966662717,0.984162681705906,1.077779246629075
