date,HML_ours,SMB_ours
2016-05-01,-0.013467711115655758,-0.03029573669698359
2016-06-01,-0.0164625702900724,0.04829685638083578
2016-07-01,0.020968296305432413,-0.020723957542802027
2016-08-01,0.0015430261314962213,0.026934923406409423
2016-09-01,0.0010276368386520594,0.03714899556234559
2016-10-01,0.007947197558719508,0.02190979970021019
2016-11-01,0.02463188683738879,-0.006753162270405074
2016-12-01,0.0006146970703506845,0.037473426621004946
2017-01-01,0.034514065106381206,-0.0325872583037243
2017-02-01,0.003529716564633703,0.017898625911892865
2017-03-01,0.009541399526917266,-0.01783612181355102
2017-04-01,0.028743301710855644,-0.03671741730277095
2017-05-01,0.04683805786463961,-0.06761749968129643
2017-06-01,-0.016957382327998562,-0.009759305193608986
2017-07-01,0.032447375946767575,-0.02510750438522106
2017-08-01,-0.006991052502954134,0.005943811971578956
