date,HML_ours,HML_csmar
2017-12-01,-0.008799910691104543,-0.005106
2018-01-01,0.05340353983429327,0.072668
2018-02-01,-0.01044849535059034,-0.019403
2018-03-01,-0.05066450053312903,-0.060303
2018-04-01,0.014373656003946167,0.014972
2018-05-01,-0.02376833129310936,-0.007871
2018-06-01,0.02538113074820081,0.029783
2018-07-01,0.0121249340796126,0.02951
2018-08-01,0.02600409381945029,0.02488
2018-09-01,0.019379532690287436,0.017119
2018-10-01,0.05206869819848177,0.054054
2018-11-01,-0.06358670174762653,-0.04861
2018-12-01,-0.0024156674377564594,0.006645
2019-01-01,-0.003092079173463186,0.01483
2019-02-01,-0.0766952906224323,-0.086775
2019-03-01,-0.052025820278966704,-0.051009
2019-04-01,-0.014234759981526183,0.007523
2019-05-01,-0.017793151262071368,0.007695
